--------------------
Env: Atari-Alien-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
900000		26400.000	3400.000	8800.000	26900.000	13500.000	2000.000	22600.000	5600.000	17500.000	29200.000
1000000		26400.000	5400.000	8700.000	28800.000	10900.000	1700.000	25700.000	8300.000	22100.000	27200.000
1100000		30400.000	9300.000	7600.000	27900.000	14200.000	2100.000	28900.000	8000.000	21400.000	30100.000
1200000		31600.000	8500.000	10000.000	27000.000	13600.000	1100.000	21300.000	8200.000	23600.000	29800.000
1300000		30000.000	8200.000	13700.000	27900.000	15600.000	1700.000	26300.000	6400.000	25500.000	32700.000
1400000		30600.000	9200.000	9000.000	27100.000	16700.000	1500.000	25200.000	10000.000	24900.000	31800.000
1500000		27800.000	6300.000	8900.000	32000.000	14400.000	1000.000	29400.000	7700.000	20000.000	36300.000
1600000		25400.000	8000.000	12500.000	26800.000	16200.000	1000.000	23700.000	9500.000	17400.000	39900.000
1700000		26200.000	7300.000	13700.000	25400.000	14700.000	3300.000	25700.000	9400.000	20100.000	33400.000
1800000		30600.000	10800.000	11100.000	30400.000	18500.000	1800.000	34000.000	8400.000	23800.000	28500.000
1900000		26500.000	9200.000	14000.000	28200.000	14900.000	1800.000	24600.000	8900.000	25200.000	28300.000
2000000		23300.000	5800.000	11900.000	31700.000	14600.000	1700.000	25400.000	8000.000	23000.000	30700.000
2100000		29700.000	5000.000	12600.000	29700.000	17600.000	4100.000	27000.000	5700.000	27100.000	31200.000
2200000		31300.000	7000.000	12500.000	31700.000	25400.000	3200.000	21400.000	6400.000	15100.000	35300.000
2300000		27800.000	7900.000	13000.000	31000.000	12200.000	3900.000	23400.000	4900.000	22100.000	36000.000
2400000		30800.000	11400.000	15500.000	32400.000	26500.000	3300.000	24400.000	6500.000	20400.000	31800.000
2500000		30200.000	8800.000	18100.000	27400.000	27600.000	4000.000	27600.000	5500.000	17400.000	32200.000
--------------------
Env: Atari-BeamRider-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		466.400		440.000		685.600		211.200		352.000		52.800		74.800		519.600		268.400		404.800
100000		560.800		773.600		1082.400	1005.600	876.800		848.000		670.800		638.800		935.600		642.400
200000		810.800		2188.800	1598.000	1512.000	1125.600	1323.600	1310.000	680.800		1349.600	1326.000
300000		1171.600	1967.200	1748.800	1683.200	1574.000	1795.200	1388.800	648.000		1943.200	1317.200
400000		1141.200	1994.000	1918.800	1474.800	1526.800	2028.400	1495.200	696.800		1495.200	1990.400
500000		1205.600	1520.800	1694.400	1599.600	1537.600	2146.800	2125.400	896.400		1858.800	1809.200
600000		1696.400	1796.000	1916.800	1692.000	1593.600	2266.400	1744.800	1150.000	1738.400	2346.000
700000		1494.400	1878.000	1905.200	1936.400	1842.800	1931.200	1837.600	1445.200	1786.000	1981.200
800000		1608.400	1946.800	2071.600	1876.000	1953.600	1879.200	1692.800	1740.800	2082.800	1916.800
900000		1286.400	1822.000	2186.800	1816.800	1879.200	2054.400	1988.400	2403.200	1863.600	2058.000
1000000		1491.600	2014.400	2024.800	2272.800	1957.200	1931.200	1842.800	2576.200	1962.400	1998.800
1100000		1405.200	2050.800	2196.000	2304.400	1926.000	2221.600	2196.000	1816.800	2190.800	1853.200
1200000		1837.600	2076.800	2082.000	2326.000	2087.200	1921.600	2060.000	1692.000	2155.600	2009.200
1300000		1676.400	2082.000	1856.800	2605.600	1905.200	1707.600	2004.000	1900.000	2072.000	1983.200
1400000		1920.800	2009.200	2004.000	2228.800	1707.600	2076.800	1894.800	1900.000	2066.400	1931.200
1500000		1962.400	2233.600	1998.800	2274.000	1738.800	1983.200	1572.000	1957.200	2074.400	1858.800
1600000		2082.000	1983.200	1962.400	2110.000	2160.800	2004.000	1832.400	2076.000	2030.000	1848.000
1700000		1832.400	1972.800	1926.000	2155.600	2042.400	1933.200	1906.800	2019.600	1978.000	2066.400
1800000		2030.000	2082.000	2040.400	3215.400	1983.200	2140.400	2171.600	1879.200	1926.000	1839.200
1900000		1874.000	2014.400	2606.800	2680.200	1962.400	1974.000	1872.000	2150.400	1926.000	1846.800
2000000		2014.400	1993.600	2540.600	3291.400	1993.600	2045.600	1952.000	1726.800	1863.600	1946.800
2100000		1824.400	1962.400	2327.600	2419.200	1936.400	1916.400	1740.400	1910.400	1928.400	1827.600
2200000		1920.800	1926.000	3316.200	3115.400	2020.800	1884.000	1832.400	1988.400	1884.400	2121.200
2300000		2160.000	1994.400	3634.800	2550.400	2118.400	1962.000	1952.400	1941.600	2102.800	1858.400
2400000		1770.000	1707.600	3841.600	2420.400	1988.400	1884.400	1863.600	1972.800	2004.000	2139.200
2500000		1926.800	1947.600	3895.000	3614.200	2062.800	1837.600	1905.200	1905.200	1900.000	2004.000
--------------------
Env: Atari-Berzerk-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		100.000		85.000		217.000		235.000		30.000		266.000		205.000		215.000		205.000		0.000
100000		275.000		382.000		265.000		305.000		321.000		330.000		377.000		190.000		450.000		282.000
200000		454.000		513.000		275.000		295.000		297.000		346.000		426.000		359.000		230.000		400.000
300000		442.000		452.000		400.000		325.000		466.000		380.000		471.000		355.000		413.000		347.000
400000		479.000		504.000		400.000		350.000		417.000		406.000		398.000		345.000		425.000		435.000
500000		486.000		450.000		375.000		370.000		452.000		454.000		321.000		458.000		378.000		311.000
600000		503.000		595.000		400.000		335.000		395.000		385.000		526.000		424.000		454.000		383.000
700000		520.000		596.000		370.000		360.000		398.000		332.000		450.000		390.000		451.000		417.000
800000		502.000		502.000		355.000		345.000		489.000		400.000		497.000		392.000		503.000		435.000
900000		485.000		553.000		360.000		355.000		359.000		271.000		541.000		344.000		492.000		446.000
1000000		478.000		527.000		265.000		380.000		426.000		332.000		476.000		470.000		482.000		471.000
1100000		467.000		597.000		375.000		330.000		514.000		392.000		479.000		410.000		484.000		500.000
1200000		496.000		580.000		390.000		310.000		487.000		415.000		451.000		443.000		517.000		554.000
1300000		508.000		554.000		380.000		370.000		534.000		343.000		436.000		447.000		431.000		459.000
1400000		496.000		529.000		370.000		305.000		589.000		539.000		556.000		390.000		415.000		532.000
1500000		466.000		571.000		390.000		380.000		525.000		376.000		557.000		423.000		458.000		529.000
1600000		467.000		491.000		370.000		400.000		510.000		490.000		479.000		395.000		439.000		471.000
1700000		410.000		670.000		370.000		390.000		539.000		533.000		653.000		374.000		446.000		600.000
1800000		508.000		584.000		370.000		375.000		603.000		623.000		616.000		409.000		457.000		528.000
1900000		491.000		557.000		365.000		360.000		540.000		519.000		672.000		445.000		502.000		507.000
2000000		411.000		614.000		380.000		345.000		550.000		389.000		652.000		465.000		505.000		487.000
2100000		508.000		539.000		375.000		370.000		584.000		547.000		586.000		507.000		555.000		478.000
2200000		511.000		641.000		360.000		315.000		535.000		663.000		610.000		440.000		523.000		493.000
2300000		449.000		639.000		386.000		350.000		582.000		570.000		648.000		475.000		521.000		499.000
2400000		490.000		659.000		370.000		380.000		602.000		623.000		560.000		479.000		465.000		490.000
2500000		431.000		624.000		385.000		380.000		626.000		685.000		618.000		428.000		527.000		530.000
--------------------
Env: Atari-Bowling-v5
Timestep	Seed 0		Seed 1		Seed 2		Seed 3		Seed 4		Seed 5		Seed 6		Seed 7		Seed 8		Seed 9
0		21.400		17.000		21.700		35.400		2.400		3.400		20.100		4.800		18.800		4.300
100000		30.000		30.000		30.000		30.000		65.100		21.300		51.600		63.000		30.000		30.000
